UPC: 810025011031, BASE TOTAL COST: 121.25, BASE DOLLAR ROI: -31.26, BASE PERCENT ROI: -26, GCG TOTAL COST: 119.22, GCG DOLLAR ROI: -29.23, GCG PERCENT ROI: -25
UPC: 848971010334, BASE TOTAL COST: 178.16, BASE DOLLAR ROI: -88.17, BASE PERCENT ROI: -49, GCG TOTAL COST: 175.1, GCG DOLLAR ROI: -85.11, GCG PERCENT ROI: -49
UPC: 848971037331, BASE TOTAL COST: 111.77, BASE DOLLAR ROI: 64.22, BASE PERCENT ROI: 57, GCG TOTAL COST: 109.9, GCG DOLLAR ROI: 66.09, GCG PERCENT ROI: 60
UPC: 848971004425, BASE TOTAL COST: 39.78, BASE DOLLAR ROI: 20.21, BASE PERCENT ROI: 51, GCG TOTAL COST: 39.02, GCG DOLLAR ROI: 20.97, GCG PERCENT ROI: 54
UPC: 848971001745, BASE TOTAL COST: 28.18, BASE DOLLAR ROI: 11.81, BASE PERCENT ROI: 42, GCG TOTAL COST: 27.64, GCG DOLLAR ROI: 12.35, GCG PERCENT ROI: 45
UPC: 810025019853, BASE TOTAL COST: 126.49, BASE DOLLAR ROI: -31.5, BASE PERCENT ROI: -25, GCG TOTAL COST: 124.37, GCG DOLLAR ROI: -29.38, GCG PERCENT ROI: -24
UPC: 810025011000, BASE TOTAL COST: 82.71, BASE DOLLAR ROI: -20.72, BASE PERCENT ROI: -25, GCG TOTAL COST: 81.4, GCG DOLLAR ROI: -19.41, GCG PERCENT ROI: -24
UPC: 810025016227, BASE TOTAL COST: 54.01, BASE DOLLAR ROI: -15.02, BASE PERCENT ROI: -28, GCG TOTAL COST: 53.12, GCG DOLLAR ROI: -14.13, GCG PERCENT ROI: -27
UPC: 810025012656, BASE TOTAL COST: 13.9, BASE DOLLAR ROI: 6.09, BASE PERCENT ROI: 44, GCG TOTAL COST: 13.63, GCG DOLLAR ROI: 6.36, GCG PERCENT ROI: 47
UPC: 848971010365, BASE TOTAL COST: 119.39, BASE DOLLAR ROI: -29.4, BASE PERCENT ROI: -25, GCG TOTAL COST: 117.48, GCG DOLLAR ROI: -27.49, GCG PERCENT ROI: -23
UPC: 848971037263, BASE TOTAL COST: 140.20999999999998, BASE DOLLAR ROI: 83.78, BASE PERCENT ROI: 60, GCG TOTAL COST: 137.84, GCG DOLLAR ROI: 86.15, GCG PERCENT ROI: 63
UPC: 848971037317, BASE TOTAL COST: 125.99, BASE DOLLAR ROI: 74, BASE PERCENT ROI: 59, GCG TOTAL COST: 123.87, GCG DOLLAR ROI: 76.12, GCG PERCENT ROI: 61
UPC: 848971010341, BASE TOTAL COST: 98.05, BASE DOLLAR ROI: -23.06, BASE PERCENT ROI: -24, GCG TOTAL COST: 96.49, GCG DOLLAR ROI: -21.5, GCG PERCENT ROI: -22
UPC: 848971024133, BASE TOTAL COST: 17.08, BASE DOLLAR ROI: 2.91, BASE PERCENT ROI: 17, GCG TOTAL COST: 16.75, GCG DOLLAR ROI: 3.24, GCG PERCENT ROI: 19
UPC: 848971025185, BASE TOTAL COST: 80.71, BASE DOLLAR ROI: -18.71, BASE PERCENT ROI: -23, GCG TOTAL COST: 79.4, GCG DOLLAR ROI: -17.4, GCG PERCENT ROI: -22
UPC: 810025011017, BASE TOTAL COST: 70.11, BASE DOLLAR ROI: -18.12, BASE PERCENT ROI: -26, GCG TOTAL COST: 69.00999999999999, GCG DOLLAR ROI: -17.02, GCG PERCENT ROI: -25
UPC: 810025011048, BASE TOTAL COST: 120.63, BASE DOLLAR ROI: -26.64, BASE PERCENT ROI: -22, GCG TOTAL COST: 118.64, GCG DOLLAR ROI: -24.65, GCG PERCENT ROI: -21
UPC: 848971001783, BASE TOTAL COST: 32.42, BASE DOLLAR ROI: 15.57, BASE PERCENT ROI: 48, GCG TOTAL COST: 31.79, GCG DOLLAR ROI: 16.2, GCG PERCENT ROI: 51
UPC: 810025019846, BASE TOTAL COST: 137.47, BASE DOLLAR ROI: -29.48, BASE PERCENT ROI: -21, GCG TOTAL COST: 135.18, GCG DOLLAR ROI: -27.19, GCG PERCENT ROI: -20
UPC: 069055877777, BASE TOTAL COST: 43.85, BASE DOLLAR ROI: 11.14, BASE PERCENT ROI: 25, GCG TOTAL COST: 42.99, GCG DOLLAR ROI: 12, GCG PERCENT ROI: 28
UPC: 069055879061, BASE TOTAL COST: 326.98, BASE DOLLAR ROI: 153.02, BASE PERCENT ROI: 47, GCG TOTAL COST: 320.47, GCG DOLLAR ROI: 159.53, GCG PERCENT ROI: 50
UPC: 047400550148, BASE TOTAL COST: 22.76, BASE DOLLAR ROI: -7.77, BASE PERCENT ROI: -34, GCG TOTAL COST: 22.32, GCG DOLLAR ROI: -7.33, GCG PERCENT ROI: -33
UPC: 069055870730, BASE TOTAL COST: 123.39, BASE DOLLAR ROI: 76.6, BASE PERCENT ROI: 62, GCG TOTAL COST: 120.95, GCG DOLLAR ROI: 79.04, GCG PERCENT ROI: 65
UPC: 069055873380, BASE TOTAL COST: 214.47, BASE DOLLAR ROI: -3.5, BASE PERCENT ROI: -2, GCG TOTAL COST: 210.23, GCG DOLLAR ROI: 0.74, GCG PERCENT ROI: 0
UPC: 069055870952, BASE TOTAL COST: 121.06, BASE DOLLAR ROI: 18.93, BASE PERCENT ROI: 16, GCG TOTAL COST: 118.66, GCG DOLLAR ROI: 21.33, GCG PERCENT ROI: 18
UPC: 069055870921, BASE TOTAL COST: 121.86, BASE DOLLAR ROI: 8.13, BASE PERCENT ROI: 7, GCG TOTAL COST: 119.43, GCG DOLLAR ROI: 10.56, GCG PERCENT ROI: 9
UPC: 069055871126, BASE TOTAL COST: 97.86, BASE DOLLAR ROI: 42.13, BASE PERCENT ROI: 43, GCG TOTAL COST: 95.93, GCG DOLLAR ROI: 44.06, GCG PERCENT ROI: 46
UPC: 069055875568, BASE TOTAL COST: 85.25, BASE DOLLAR ROI: 24.74, BASE PERCENT ROI: 29, GCG TOTAL COST: 83.55, GCG DOLLAR ROI: 26.44, GCG PERCENT ROI: 32
UPC: 069055875957, BASE TOTAL COST: 64.07, BASE DOLLAR ROI: 25.92, BASE PERCENT ROI: 40, GCG TOTAL COST: 62.8, GCG DOLLAR ROI: 27.19, GCG PERCENT ROI: 43
UPC: 069055871386, BASE TOTAL COST: 85.27, BASE DOLLAR ROI: 14.72, BASE PERCENT ROI: 17, GCG TOTAL COST: 83.57, GCG DOLLAR ROI: 16.42, GCG PERCENT ROI: 20
UPC: 069055878484, BASE TOTAL COST: 265.99, BASE DOLLAR ROI: 64, BASE PERCENT ROI: 24, GCG TOTAL COST: 260.69, GCG DOLLAR ROI: 69.3, GCG PERCENT ROI: 27
UPC: 069055875827, BASE TOTAL COST: 60.33, BASE DOLLAR ROI: 35.66, BASE PERCENT ROI: 59, GCG TOTAL COST: 59.14, GCG DOLLAR ROI: 36.85, GCG PERCENT ROI: 62
